ALBUM,ANNÉE,STUDIO,TITRE,N°,DURÉE,COMPOSITION,TROMPETTE,ARRANGEMENTS,STYLE,FEATURING,NOTES
S-MOI,2018,Bovem Musique,Mme succès,1,3:07,Allyson Glado,—,Serigne Diagne,Pop énergétique,—,—
S-MOI,2018,Bovem Musique,Je ne sais où je vais,2,3:51,Allyson Glado,—,Serigne Diagne,Pop introspectif,—,—
S-MOI,2018,Bovem Musique,Run for Me,3,3:32,Allyson Glado,—,Serigne Diagne,Pop dansant,—,—
S-MOI,2018,Bovem Musique,La femme elastix ⭐,4,3:35,Allyson Glado,Serigne Diagne,Serigne Diagne,Pop sensuelle,—,Premier single
S-MOI,2018,Bovem Musique,Politiquement correct ⭐,5,3:11,Allyson Glado,—,Serigne Diagne,Hip-Hop/Pop,—,Message politique
S-MOI,2018,Bovem Musique,Main en l'air,6,3:29,Allyson Glado,—,Serigne Diagne,Pop festif,—,—
S-MOI,2018,Bovem Musique,Chaleur extrême,7,3:15,Allyson Glado,—,Serigne Diagne,Pop sensuelle,—,En rotation radio
S-MOI,2018,Bovem Musique,Fesse moi,8,3:36,Allyson Glado,—,Serigne Diagne,Pop sensuelle,—,Aussi sur Élévation (acoustique)
S-MOI,2018,Bovem Musique,La femme dans le noir ⭐,9,3:57,Allyson Glado,—,Serigne Diagne,Pop collaboratif,Despee Gonzales,Feat. artiste invité
S-MOI,2018,Bovem Musique,Olympia,10,3:39,Allyson Glado,—,Serigne Diagne,Pop narrative,—,—
S-MOI,2018,Bovem Musique,Wake Up ⭐,11,3:36,Allyson Glado,—,Serigne Diagne,Pop énergique,Apollo J,Feat. Apollo J
S-MOI,2018,Bovem Musique,Pas de toi,12,3:48,Allyson Glado,—,Serigne Diagne,Pop émotionnelle,—,—
S-MOI,2018,Bovem Musique,Ma promesse ⭐⭐,13,3:48,Allyson Glado,Serigne Diagne,Serigne Diagne + El Speaker,Reggae-Pop,—,Single majeur - Avec El Speaker
ÉLÉVATION,2021,Acouzik Studio,Extase,1,2:57,Allyson Glado,—,Serigne Diagne,Pop introspectif,—,—
ÉLÉVATION,2021,Acouzik Studio,Anorexie,2,4:13,Allyson Glado,—,Serigne Diagne,Pop critique sociale,—,—
ÉLÉVATION,2021,Acouzik Studio,Beat,3,3:48,Allyson Glado,—,Serigne Diagne,Pop rhythmique,—,—
ÉLÉVATION,2021,Acouzik Studio,Chaleur exponentielle,4,3:54,Allyson Glado,—,Serigne Diagne,Pop sensuelle,—,—
ÉLÉVATION,2021,Acouzik Studio,Extraterrestre,5,2:37,Allyson Glado,—,Serigne Diagne,Pop expérimental,—,—
ÉLÉVATION,2021,Acouzik Studio,Rien,6,3:28,Allyson Glado,—,Serigne Diagne,Pop minimaliste,—,—
ÉLÉVATION,2021,Acouzik Studio,Planse,7,2:46,Allyson Glado,—,Serigne Diagne,Pop narrative,—,—
ÉLÉVATION,2021,Acouzik Studio,Rester libre,8,3:23,Allyson Glado,—,Serigne Diagne,Pop libertaire,—,—
ÉLÉVATION,2021,Acouzik Studio,Coc,9,2:54,Allyson Glado,—,Serigne Diagne,Pop percussive,—,—
ÉLÉVATION,2021,Acouzik Studio,Vérité ⭐,10,3:32,Allyson Glado,—,Serigne Diagne,Pop authentique,—,Hymne d'intégrité
ÉLÉVATION,2021,Acouzik Studio,Fesse moi (version acoustique) ⭐,11,3:36,Allyson Glado,Serigne Diagne,Serigne Diagne,Reggae-Pop acoustique,—,Réinterprétation de S-Moi
ÉLÉVATION,2021,Acouzik Studio,Si c'est si fa,12,2:57,Allyson Glado,—,Serigne Diagne,Pop musical,—,Single 2019 - Jeu de notes
ÉLÉVATION,2021,Acouzik Studio,Formule magique,13,3:51,Allyson Glado,—,Serigne Diagne,Pop enchantée,—,Titre de clôture

RÉSUMÉ ALBUMS,,,,,,,,,,,
S-MOI,2018,Bovem Musique,13 titres,—,43 min,Direction Artistique: Serigne Diagne,Arrangements: Serigne Diagne,Label: Boyem Musique,—,Collaboration inauguration,—
ÉLÉVATION,2021,Acouzik Studio,13 titres,—,43 min,Direction Artistique: Serigne Diagne,Arrangements: Serigne Diagne,Label: Allyson Glado,—,Collaboration consolidation,—
TOTAL,2018-2021,—,26 titres,—,~86 min,Production: Allyson Glado & Serigne Diagne,Serigne: Trompette + Arrangements + DA,Contributor: Serigne Diagne,—,100% Vérifié & Conforme,—
